Name	Start	Duration	Time Format	Type	Description
l	0:01.313	0:00.000	decimal	Cue	
l	0:02.153	0:00.000	decimal	Cue	
l	0:02.955	0:00.000	decimal	Cue	
l	0:03.802	0:00.000	decimal	Cue	
r	0:04.630	0:00.000	decimal	Cue	
r	0:05.449	0:00.000	decimal	Cue	
r	0:06.232	0:00.000	decimal	Cue	
ld	0:06.418	0:00.865	decimal	Cue	
ru	0:06.662	0:02.693	decimal	Cue	
r	0:07.076	0:00.000	decimal	Cue	
l	0:07.930	0:00.000	decimal	Cue	
r	0:08.754	0:00.000	decimal	Cue	
l	0:09.575	0:00.000	decimal	Cue	
l	0:10.028	0:00.000	decimal	Cue	
r	0:10.029	0:00.000	decimal	Cue	
lu	0:10.029	0:01.574	decimal	Cue	
rd	0:10.862	0:01.537	decimal	Cue	
ld	0:11.738	0:00.662	decimal	Cue	
l	0:12.577	0:00.000	decimal	Cue	
r	0:12.578	0:00.000	decimal	Cue	
lu	0:12.578	0:00.756	decimal	Cue	
ru	0:12.578	0:00.756	decimal	Cue	
l	0:13.382	0:00.000	decimal	Cue	
r	0:13.383	0:00.000	decimal	Cue	
rd	0:13.383	0:02.705	decimal	Cue	
ld	0:13.383	0:02.705	decimal	Cue	
l	0:13.837	0:00.000	decimal	Cue	
r	0:14.679	0:00.000	decimal	Cue	
l	0:15.495	0:00.000	decimal	Cue	
r second	0:16.311	0:00.000	decimal	Cue	
r	0:16.515	0:00.000	decimal	Cue	
ru	0:16.515	0:00.644	decimal	Cue	
l	0:17.160	0:00.000	decimal	Cue	
l	0:17.581	0:00.000	decimal	Cue	
l	0:17.783	0:00.000	decimal	Cue	
l	0:17.997	0:00.000	decimal	Cue	
r	0:18.418	0:00.000	decimal	Cue	
r	0:18.609	0:00.000	decimal	Cue	
r	0:18.821	0:00.000	decimal	Cue	
l	0:19.028	0:00.000	decimal	Cue	
r	0:19.121	0:00.000	decimal	Cue	
l	0:19.213	0:00.000	decimal	Cue	
r	0:19.416	0:00.000	decimal	Cue	
l	0:20.062	0:00.000	decimal	Cue	
r	0:20.497	0:00.000	decimal	Cue	
r	0:20.918	0:00.000	decimal	Cue	
r	0:21.116	0:00.000	decimal	Cue	
r	0:21.335	0:00.000	decimal	Cue	
r	0:21.335	0:00.000	decimal	Cue	
l	0:21.745	0:00.000	decimal	Cue	
l	0:21.939	0:00.000	decimal	Cue	
l	0:22.146	0:00.000	decimal	Cue	
r	0:22.150	0:00.000	decimal	Cue	
r	0:22.561	0:00.000	decimal	Cue	
l	0:22.977	0:00.000	decimal	Cue	
ru	0:22.977	0:03.690	decimal	Cue	
ld	0:23.197	0:01.787	decimal	Cue	
l	0:23.422	0:00.000	decimal	Cue	
r	0:23.423	0:00.000	decimal	Cue	
lu	0:25.117	0:01.550	decimal	Cue	
l	0:25.958	0:00.000	decimal	Cue	
r	0:25.958	0:00.000	decimal	Cue	
l	0:26.180	0:00.000	decimal	Cue	
r	0:26.277	0:00.000	decimal	Cue	
l	0:26.383	0:00.000	decimal	Cue	
r	0:26.471	0:00.000	decimal	Cue	
l	0:26.571	0:00.000	decimal	Cue	
l	0:26.799	0:00.000	decimal	Cue	
r second 0.5	0:26.801	0:00.000	decimal	Cue	
r	0:27.237	0:00.000	decimal	Cue	
l	0:27.654	0:00.000	decimal	Cue	
l	0:27.855	0:00.000	decimal	Cue	
l	0:28.068	0:00.000	decimal	Cue	
r	0:28.490	0:00.000	decimal	Cue	
r	0:28.693	0:00.000	decimal	Cue	
r	0:28.896	0:00.000	decimal	Cue	
l	0:29.703	0:00.000	decimal	Cue	
l	0:30.122	0:00.000	decimal	Cue	
r	0:30.122	0:00.000	decimal	Cue	
ru	0:30.122	0:00.413	decimal	Cue	
l	0:30.536	0:00.000	decimal	Cue	
r	0:30.957	0:00.000	decimal	Cue	
r	0:31.154	0:00.000	decimal	Cue	
r	0:31.366	0:00.000	decimal	Cue	
lu	0:31.576	0:00.623	decimal	Cue	
l	0:32.199	0:00.000	decimal	Cue	
l	0:32.804	0:00.000	decimal	Cue	
ld	0:32.804	0:00.625	decimal	Cue	
l	0:33.433	0:00.000	decimal	Cue	
r	0:33.858	0:00.000	decimal	Cue	
l	0:34.266	0:00.000	decimal	Cue	
l	0:34.466	0:00.000	decimal	Cue	
l	0:34.665	0:00.000	decimal	Cue	
r	0:35.085	0:00.000	decimal	Cue	
r	0:35.289	0:00.000	decimal	Cue	
r	0:35.501	0:00.000	decimal	Cue	
ru	0:35.897	0:00.764	decimal	Cue	
lu	0:36.091	0:00.570	decimal	Cue	
l	0:36.305	0:00.000	decimal	Cue	
r	0:36.738	0:00.000	decimal	Cue	
ld	0:36.738	0:02.386	decimal	Cue	
rd	0:36.738	0:02.386	decimal	Cue	
r	0:39.328	0:00.000	decimal	Cue	
l	0:39.328	0:00.000	decimal	Cue	
r	0:39.552	0:00.000	decimal	Cue	
l	0:39.644	0:00.000	decimal	Cue	
r	0:39.743	0:00.000	decimal	Cue	
l	0:39.831	0:00.000	decimal	Cue	
r	0:39.929	0:00.000	decimal	Cue	
l	0:40.022	0:00.000	decimal	Cue	
l	0:40.138	0:00.000	decimal	Cue	
lu	0:40.138	0:01.546	decimal	Cue	
r	0:40.587	0:00.000	decimal	Cue	
l	0:41.009	0:00.000	decimal	Cue	
r	0:41.440	0:00.000	decimal	Cue	
ld	0:41.876	0:01.650	decimal	Cue	
l	0:42.275	0:00.000	decimal	Cue	
r	0:43.099	0:00.000	decimal	Cue	
r	0:43.527	0:00.000	decimal	Cue	
l	0:43.948	0:00.000	decimal	Cue	
r	0:44.774	0:00.000	decimal	Cue	
ru	0:45.000	0:01.634	decimal	Cue	
l	0:45.599	0:00.000	decimal	Cue	
r	0:46.413	0:00.000	decimal	Cue	
rd	0:46.836	0:00.858	decimal	Cue	
l	0:47.259	0:00.000	decimal	Cue	
r	0:47.695	0:00.000	decimal	Cue	
r	0:47.897	0:00.000	decimal	Cue	
r	0:48.108	0:00.000	decimal	Cue	
l	0:48.547	0:00.000	decimal	Cue	
l	0:48.745	0:00.000	decimal	Cue	
l	0:48.964	0:00.000	decimal	Cue	
r	0:49.358	0:00.000	decimal	Cue	
r	0:49.790	0:00.000	decimal	Cue	
l	0:49.790	0:00.000	decimal	Cue	
r	0:50.221	0:00.000	decimal	Cue	
rd	0:50.221	0:02.568	decimal	Cue	
ld	0:50.221	0:02.568	decimal	Cue	
l	0:50.221	0:00.000	decimal	Cue	
l	0:50.875	0:00.000	decimal	Cue	
l	0:51.084	0:00.000	decimal	Cue	
l	0:51.301	0:00.000	decimal	Cue	
r	0:51.729	0:00.000	decimal	Cue	
r	0:51.937	0:00.000	decimal	Cue	
r	0:52.143	0:00.000	decimal	Cue	
l	0:52.790	0:00.000	decimal	Cue	
r	0:52.790	0:00.000	decimal	Cue	
l	0:52.996	0:00.000	decimal	Cue	
r	0:53.103	0:00.000	decimal	Cue	
l	0:53.204	0:00.000	decimal	Cue	
