Name	Start	Duration	Time Format	Type	Description
LMarker 01	0:00.759	0:00.000	decimal	Cue	
LMarker 02	0:02.107	0:00.000	decimal	Cue	
LMarker 03	0:03.412	0:00.000	decimal	Cue	
LMarker 04	0:04.745	0:00.000	decimal	Cue	
LMarker 05	0:06.093	0:00.000	decimal	Cue	
LMarker 06	0:07.426	0:00.000	decimal	Cue	
LMarker 07	0:08.774	0:00.000	decimal	Cue	
LMarker 08	0:10.054	0:00.000	decimal	Cue	
LMarker 09	0:11.251	0:00.000	decimal	Cue	
LMarker 10	0:12.706	0:00.000	decimal	Cue	
LMarker 11	0:14.065	0:00.000	decimal	Cue	
LMarker 12	0:15.402	0:00.000	decimal	Cue	
LMarker 13	0:16.706	0:00.000	decimal	Cue	
LMarker 14	0:18.043	0:00.000	decimal	Cue	
LMarker 15	0:19.412	0:00.000	decimal	Cue	
