Name	Start	Duration	Time Format	Type	Description
L	0:02.451	0:00.000	decimal	Cue	
L	0:02.612	0:00.000	decimal	Cue	
R	0:02.774	0:00.000	decimal	Cue	
R	0:02.946	0:00.000	decimal	Cue	
LU	0:03.117	0:00.318	decimal	Cue	
L	0:03.435	0:00.000	decimal	Cue	
R	0:04.167	0:00.000	decimal	Cue	
L	0:04.853	0:00.000	decimal	Cue	
R	0:05.561	0:00.000	decimal	Cue	
L	0:06.258	0:00.000	decimal	Cue	
L	0:06.626	0:00.000	decimal	Cue	
R	0:06.988	0:00.000	decimal	Cue	
LD	0:07.672	0:00.718	decimal	Cue	
L	0:07.673	0:00.000	decimal	Cue	
r	0:08.747	0:00.000	decimal	Cue	
r	0:09.083	0:00.000	decimal	Cue	
ru	0:09.086	0:00.726	decimal	Cue	
r	0:09.813	0:00.000	decimal	Cue	
l	0:10.497	0:00.000	decimal	Cue	
r	0:11.212	0:00.000	decimal	Cue	
l	0:11.907	0:00.000	decimal	Cue	
r	0:12.637	0:00.000	decimal	Cue	
ru	0:13.321	0:00.711	decimal	Cue	
lu	0:13.324	0:00.712	decimal	Cue	
r	0:14.728	0:00.000	decimal	Cue	
l	0:15.463	0:00.000	decimal	Cue	
l	0:16.152	0:00.000	decimal	Cue	
r	0:16.872	0:00.000	decimal	Cue	
ld	0:17.556	0:00.728	decimal	Cue	
rd	0:18.976	0:00.708	decimal	Cue	
rd	0:20.378	0:00.733	decimal	Cue	
l	0:20.378	0:00.000	decimal	Cue	
l	0:21.111	0:00.000	decimal	Cue	
ru	0:21.801	0:00.710	decimal	Cue	
l	0:22.156	0:00.000	decimal	Cue	
rd	0:22.510	0:00.693	decimal	Cue	
l	0:22.869	0:00.000	decimal	Cue	
ru	0:23.204	0:00.733	decimal	Cue	
r	0:23.938	0:00.000	decimal	Cue	
r	0:24.623	0:00.000	decimal	Cue	
l	0:25.330	0:00.000	decimal	Cue	
r	0:26.027	0:00.000	decimal	Cue	
ld	0:26.027	0:00.738	decimal	Cue	
r	0:26.765	0:00.000	decimal	Cue	
l	0:27.448	0:00.000	decimal	Cue	
l	0:28.161	0:00.000	decimal	Cue	
l	0:28.850	0:00.000	decimal	Cue	
rd	0:29.335	0:02.215	decimal	Cue	
lu	0:29.335	0:02.215	decimal	Cue	
r	0:29.585	0:00.000	decimal	Cue	
l	0:30.273	0:00.000	decimal	Cue	
r	0:30.275	0:00.000	decimal	Cue	
l	0:30.982	0:00.000	decimal	Cue	
r	0:31.677	0:00.000	decimal	Cue	
l	0:32.407	0:00.000	decimal	Cue	
l	0:33.097	0:00.000	decimal	Cue	
r	0:33.811	0:00.000	decimal	Cue	
l	0:34.504	0:00.000	decimal	Cue	
ru	0:34.692	0:01.227	decimal	Cue	
r	0:35.235	0:00.000	decimal	Cue	
r	0:35.920	0:00.000	decimal	Cue	
l	0:35.920	0:00.000	decimal	Cue	
l	0:36.640	0:00.000	decimal	Cue	
l	0:37.331	0:00.000	decimal	Cue	
rd	0:37.333	0:00.666	decimal	Cue	
l	0:38.749	0:00.000	decimal	Cue	
r	0:39.461	0:00.000	decimal	Cue	
lu	0:40.138	0:01.701	decimal	Cue	
ru	0:40.144	0:01.317	decimal	Cue	
r	0:40.887	0:00.000	decimal	Cue	
r	0:41.570	0:00.000	decimal	Cue	
l	0:41.570	0:00.000	decimal	Cue	
rd	0:41.570	0:01.073	decimal	Cue	
l	0:42.283	0:00.000	decimal	Cue	
l	0:42.640	0:00.000	decimal	Cue	
l	0:42.978	0:00.000	decimal	Cue	
r	0:43.713	0:00.000	decimal	Cue	
r	0:45.116	0:00.000	decimal	Cue	
l	0:46.538	0:00.000	decimal	Cue	
l	0:47.928	0:00.000	decimal	Cue	
r	0:48.515	0:00.000	decimal	Cue	
lu	0:48.515	0:00.851	decimal	Cue	
rd	0:50.052	0:01.145	decimal	Cue	
r	0:50.052	0:00.000	decimal	Cue	
ld	0:50.641	0:00.557	decimal	Cue	
r	0:51.449	0:00.000	decimal	Cue	
l	0:52.182	0:00.000	decimal	Cue	
r	0:52.836	0:00.000	decimal	Cue	
l	0:52.836	0:00.000	decimal	Cue	
r	0:53.588	0:00.000	decimal	Cue	
l	0:54.286	0:00.000	decimal	Cue	
l	0:55.006	0:00.000	decimal	Cue	
l	0:55.691	0:00.000	decimal	Cue	
r	0:55.691	0:00.000	decimal	Cue	
l	0:56.412	0:00.000	decimal	Cue	
r	0:57.101	0:00.000	decimal	Cue	
ru	0:57.101	0:00.694	decimal	Cue	
r	0:57.832	0:00.000	decimal	Cue	
l	0:57.832	0:00.000	decimal	Cue	
rd	0:57.832	0:01.049	decimal	Cue	
l	0:58.468	0:00.000	decimal	Cue	
lu	0:58.468	0:00.765	decimal	Cue	
r	0:58.469	0:00.000	decimal	Cue	
r	0:59.229	0:00.000	decimal	Cue	
ld	0:59.919	0:00.741	decimal	Cue	
l	1:00.660	0:00.000	decimal	Cue	
r	1:00.660	0:00.000	decimal	Cue	
r	1:01.287	0:00.000	decimal	Cue	
l	1:02.056	0:00.000	decimal	Cue	
ru	1:02.749	0:02.507	decimal	Cue	
r	1:02.753	0:00.000	decimal	Cue	
r	1:03.484	0:00.000	decimal	Cue	
lu	1:04.164	0:01.093	decimal	Cue	
r	1:04.878	0:00.000	decimal	Cue	
l	1:04.879	0:00.000	decimal	Cue	
l	1:05.572	0:00.000	decimal	Cue	
rd	1:05.572	0:00.733	decimal	Cue	
r	1:06.995	0:00.000	decimal	Cue	
ld	1:07.000	0:00.707	decimal	Cue	
lu	1:08.397	0:00.658	decimal	Cue	
l	1:08.397	0:00.000	decimal	Cue	
ru	1:08.658	0:02.841	decimal	Cue	
ld	1:09.130	0:00.607	decimal	Cue	
r	1:09.130	0:00.000	decimal	Cue	
lu	1:09.815	0:01.074	decimal	Cue	
l	1:09.815	0:00.000	decimal	Cue	
r	1:10.529	0:00.000	decimal	Cue	
r	1:11.224	0:00.000	decimal	Cue	
ld	1:11.224	0:00.725	decimal	Cue	
l	1:11.950	0:00.000	decimal	Cue	
rd	1:12.647	0:00.649	decimal	Cue	
r	1:12.647	0:00.000	decimal	Cue	
l	1:13.361	0:00.000	decimal	Cue	
ru	1:13.361	0:00.649	decimal	Cue	
ld	1:13.361	0:00.649	decimal	Cue	
r	1:14.051	0:00.000	decimal	Cue	
lu	1:14.051	0:00.728	decimal	Cue	
rd	1:14.051	0:00.728	decimal	Cue	
