Name	Start	Duration	Time Format	Type	Description
l	0:01.432	0:00.000	decimal	Cue	
rd	0:02.370	0:01.833	decimal	Cue	
r	0:03.276	0:00.000	decimal	Cue	
lu	0:04.203	0:01.619	decimal	Cue	
l	0:05.127	0:00.000	decimal	Cue	
ld	0:06.052	0:01.862	decimal	Cue	
r	0:06.973	0:00.000	decimal	Cue	
ru	0:07.915	0:01.584	decimal	Cue	
l	0:08.814	0:00.000	decimal	Cue	
rd	0:09.741	0:01.546	decimal	Cue	
r	0:10.662	0:00.000	decimal	Cue	
lu	0:11.633	0:01.589	decimal	Cue	
l	0:12.509	0:00.000	decimal	Cue	
ld	0:13.431	0:01.297	decimal	Cue	
r	0:14.359	0:00.000	decimal	Cue	
lu	0:15.047	0:00.718	decimal	Cue	
l	0:16.199	0:00.000	decimal	Cue	
ld	0:16.881	0:00.815	decimal	Cue	
r	0:18.045	0:00.000	decimal	Cue	
ru	0:18.045	0:01.394	decimal	Cue	
l	0:19.893	0:00.000	decimal	Cue	
rd	0:20.745	0:00.875	decimal	Cue	
r	0:21.740	0:00.000	decimal	Cue	
lu	0:21.740	0:01.384	decimal	Cue	
l	0:23.584	0:00.000	decimal	Cue	
ru	0:24.370	0:01.522	decimal	Cue	
r	0:25.424	0:00.000	decimal	Cue	
lu	0:25.424	0:01.473	decimal	Cue	
rd	0:26.201	0:01.559	decimal	Cue	
ld	0:27.163	0:01.336	decimal	Cue	
l	0:27.281	0:00.000	decimal	Cue	
ru	0:28.111	0:01.719	decimal	Cue	
r	0:29.126	0:00.000	decimal	Cue	
l	0:30.969	0:00.000	decimal	Cue	
r	0:32.814	0:00.000	decimal	Cue	
lu	0:33.500	0:01.636	decimal	Cue	
ru	0:34.421	0:02.089	decimal	Cue	
l	0:34.663	0:00.000	decimal	Cue	
ld	0:35.370	0:01.139	decimal	Cue	
r	0:36.510	0:00.000	decimal	Cue	
l	0:38.356	0:00.000	decimal	Cue	
r	0:40.202	0:00.000	decimal	Cue	
ru	0:40.877	0:01.647	decimal	Cue	
lu	0:41.844	0:02.515	decimal	Cue	
l	0:42.047	0:00.000	decimal	Cue	
rd	0:42.738	0:02.435	decimal	Cue	
r	0:43.894	0:00.000	decimal	Cue	
ld	0:44.816	0:00.919	decimal	Cue	
l	0:45.736	0:00.000	decimal	Cue	
r	0:47.584	0:00.000	decimal	Cue	
l	0:49.430	0:00.000	decimal	Cue	
r	0:51.278	0:00.000	decimal	Cue	
l	0:53.123	0:00.000	decimal	Cue	
r	0:54.968	0:00.000	decimal	Cue	
l	0:56.815	0:00.000	decimal	Cue	
l	0:58.658	0:00.000	decimal	Cue	
r	0:58.659	0:00.000	decimal	Cue	
